,Unnamed: 0.1,Unnamed: 0,제목,저자,초록,게재일,한 줄 요약,키워드
0,0,0,Enhancing Visual Question Answering through Question-Driven Image Captions as Prompts,"['Övgü Özdemir', 'Erdem Akagündüz']","Visual question answering (VQA) is known as an AI-complete task as it requires understanding, reasoning, and inferring about the vision and the language content. Over the past few years, numerous neural architectures have been suggested for the VQA problem. However, achieving success in zero-shot VQA remains a challenge due to its requirement for advanced generalization and reasoning skills. This study explores the impact of incorporating image captioning as an intermediary process within the VQA pipeline. Specifically, we explore the efficacy of utilizing image captions instead of images and leveraging large language models (LLMs) to establish a zero-shot setting. Since image captioning is the most crucial step in this process, we compare the impact of state-of-the-art image captioning models on VQA performance across various question types in terms of structure and semantics. We propose a straightforward and efficient question-driven image captioning approach within this pipeline to transfer contextual information into the question-answering (QA) model. This method involves extracting keywords from the question, generating a caption for each image-question pair using the keywords, and incorporating the question-driven caption into the LLM prompt. We evaluate the efficacy of using general-purpose and question-driven image captions in the VQA pipeline. Our study highlights the potential of employing image captions and harnessing the capabilities of LLMs to achieve competitive performance on GQA under the zero-shot setting. Our code is available at \url{this https URL}.","Fri, 12 Apr 2024 16:35:23 UTC",": Visual question answering, AI-complete task, neural architectures, zero-shot VQA, image captioning, large language models, question-driven approach, keywords extraction, GQA.

한 줄 요약: 본 연구는 이미지 캡션을 활용하여 영상 질문 응답 시스템의 성능을 향상시키는 방법을 탐구하며, 특히 키워드 추출 및 질문 주도 이미지 캡션을 활용하여 제로샷 설정에서 경쟁력 있는 성과를 달성할 수 있는 가능성을 강조하고 있습니다.","['Visual question answering', 'AI-complete task', 'neural architectures', 'zero-shot VQA', 'image captioning', 'large language models', 'question-driven approach', 'keywords extraction', 'GQA.']"
1,1,1,Small Models Are (Still) Effective Cross-Domain Argument Extractors,"['William Gantt', 'Aaron Steven White']","Effective ontology transfer has been a major goal of recent work on event argument extraction (EAE). Two methods in particular -- question answering (QA) and template infilling (TI) -- have emerged as promising approaches to this problem. However, detailed explorations of these techniques' ability to actually enable this transfer are lacking. In this work, we provide such a study, exploring zero-shot transfer using both techniques on six major EAE datasets at both the sentence and document levels. Further, we challenge the growing reliance on LLMs for zero-shot extraction, showing that vastly smaller models trained on an appropriate source ontology can yield zero-shot performance superior to that of GPT-3.5 or GPT-4.","Fri, 12 Apr 2024 16:23:41 UTC",": ontology transfer, event argument extraction, question answering, template infilling, zero-shot transfer, LLMs, GPT-3.5, GPT-4

한국어 요약: 최근 이벤트 인자 추출(EAE)에 대한 효과적인 온톨로지 전송은 주요 목표이며, 질문 응답(QA) 및 템플릿 채움(TI)과 같은 두 가지 방법이 이 문제에 대한 유망한 접근법으로 나타났지만, 이러한 기술들이 실제 전송을 가능하게 하는 능력에 대한 상세한 탐구가 부족하다.","['ontology transfer', 'event argument extraction', 'question answering', 'template infilling', 'zero-shot transfer', 'LLMs', 'GPT-3.5', 'GPT-4']"
2,2,2,Enhancing Autonomous Vehicle Training with Language Model Integration and Critical Scenario Generation,"['Hanlin Tian', 'Kethan Reddy', 'Yuxiang Feng', 'Mohammed Quddus', 'Yiannis Demiris', 'Panagiotis Angeloudis']","This paper introduces CRITICAL, a novel closed-loop framework for autonomous vehicle (AV) training and testing. CRITICAL stands out for its ability to generate diverse scenarios, focusing on critical driving situations that target specific learning and performance gaps identified in the Reinforcement Learning (RL) agent. The framework achieves this by integrating real-world traffic dynamics, driving behavior analysis, surrogate safety measures, and an optional Large Language Model (LLM) component. It is proven that the establishment of a closed feedback loop between the data generation pipeline and the training process can enhance the learning rate during training, elevate overall system performance, and augment safety resilience. Our evaluations, conducted using the Proximal Policy Optimization (PPO) and the HighwayEnv simulation environment, demonstrate noticeable performance improvements with the integration of critical case generation and LLM analysis, indicating CRITICAL's potential to improve the robustness of AV systems and streamline the generation of critical scenarios. This ultimately serves to hasten the development of AV agents, expand the general scope of RL training, and ameliorate validation efforts for AV safety.","Fri, 12 Apr 2024 16:13:10 UTC","본 논문은 자율 주행 차량(AV) 훈련 및 테스트를 위한 새로운 폐쇄 루프 프레임워크인 CRITICAL을 소개하며, 이는 다양한 시나리오를 생성하고 특정 학습 및 성능 갭에 초점을 맞춘 비평적 운전 상황을 타겟팅하여 학습률을 향상시키고 시스템 성능을 높이며 안전 저항력을 증진시킬 수 있는 능력을 갖추고 있음을 입증합니다.","['CRITICAL', 'autonomous vehicle training', 'closed-loop framework', 'diverse scenarios', 'critical driving situations', 'reinforcement learning', 'real-world traffic dynamics', 'surrogate safety measures', 'Large Language Model (LLM)', 'Proximal Policy Optimization (PPO)', 'HighwayEnv simulation environment.']"
3,3,3,RLHF Deciphered: A Critical Analysis of Reinforcement Learning from Human Feedback for LLMs,"['Shreyas Chaudhari', 'Pranjal Aggarwal', 'Vishvak Murahari', 'Tanmay Rajpurohit', 'Ashwin Kalyan', 'Karthik Narasimhan', 'Ameet Deshpande', 'Bruno Castro da Silva']","State-of-the-art large language models (LLMs) have become indispensable tools for various tasks. However, training LLMs to serve as effective assistants for humans requires careful consideration. A promising approach is reinforcement learning from human feedback (RLHF), which leverages human feedback to update the model in accordance with human preferences and mitigate issues like toxicity and hallucinations. Yet, an understanding of RLHF for LLMs is largely entangled with initial design choices that popularized the method and current research focuses on augmenting those choices rather than fundamentally improving the framework. In this paper, we analyze RLHF through the lens of reinforcement learning principles to develop an understanding of its fundamentals, dedicating substantial focus to the core component of RLHF -- the reward model. Our study investigates modeling choices, caveats of function approximation, and their implications on RLHF training algorithms, highlighting the underlying assumptions made about the expressivity of reward. Our analysis improves the understanding of the role of reward models and methods for their training, concurrently revealing limitations of the current methodology. We characterize these limitations, including incorrect generalization, model misspecification, and the sparsity of feedback, along with their impact on the performance of a language model. The discussion and analysis are substantiated by a categorical review of current literature, serving as a reference for researchers and practitioners to understand the challenges of RLHF and build upon existing efforts.","Fri, 12 Apr 2024 15:54:15 UTC",": large language models, reinforcement learning from human feedback, reward model, training algorithms, limitations, performance.

한줄 요약: 이 논문은 인간 피드백을 이용한 강화 학습을 통해 대규모 언어 모델을 훈련시키는 방법과 그 한계를 분석하며, 보상 모델의 중요성과 훈련 방법의 한계를 강조하고 있습니다.","['large language models', 'reinforcement learning from human feedback', 'reward model', 'training algorithms', 'limitations', 'performance.']"
4,4,4,Memory Traces: Are Transformers Tulving Machines?,['Jean-Marie Chauvet'],"Memory traces--changes in the memory system that result from the perception and encoding of an event--were measured in pioneering studies by Endel Tulving and Michael J. Watkins in 1975. These and further experiments informed the maturation of Tulving's memory model, from the GAPS (General Abstract Processing System} to the SPI (Serial-Parallel Independent) model. Having current top of the line LLMs revisit the original Tulving-Watkins tests may help in assessing whether foundation models completely instantiate or not this class of psychological models.","Fri, 12 Apr 2024 15:37:35 UTC",": Memory traces, Endel Tulving, Michael J. Watkins, memory model, GAPS, SPI, LLMs, psychological models.

한국어 요약: 1975년 Endel Tulving과 Michael J. Watkins에 의해 이뤄진 선도적 연구에서는 기억 흔적이 측정되었으며, 이후 실험을 통해 Tulving의 기억 모델이 발전하였고, 최신 LLMs가 Tulving-Watkins 테스트를 재방문함으로써 심리학 모델의 이러한 클래스가 완전히 구현되는지 평가하는 데 도움이 될 수 있습니다.","['Memory traces', 'Endel Tulving', 'Michael J. Watkins', 'memory model', 'GAPS', 'SPI', 'LLMs', 'psychological models.']"
5,5,5,"Online Safety Analysis for LLMs: a Benchmark, an Assessment, and a Path Forward","['Xuan Xie', 'Jiayang Song', 'Zhehua Zhou', 'Yuheng Huang', 'Da Song', 'Lei Ma']","While Large Language Models (LLMs) have seen widespread applications across numerous fields, their limited interpretability poses concerns regarding their safe operations from multiple aspects, e.g., truthfulness, robustness, and fairness. Recent research has started developing quality assurance methods for LLMs, introducing techniques such as offline detector-based or uncertainty estimation methods. However, these approaches predominantly concentrate on post-generation analysis, leaving the online safety analysis for LLMs during the generation phase an unexplored area. To bridge this gap, we conduct in this work a comprehensive evaluation of the effectiveness of existing online safety analysis methods on LLMs. We begin with a pilot study that validates the feasibility of detecting unsafe outputs in the early generation process. Following this, we establish the first publicly available benchmark of online safety analysis for LLMs, including a broad spectrum of methods, models, tasks, datasets, and evaluation metrics. Utilizing this benchmark, we extensively analyze the performance of state-of-the-art online safety analysis methods on both open-source and closed-source LLMs. This analysis reveals the strengths and weaknesses of individual methods and offers valuable insights into selecting the most appropriate method based on specific application scenarios and task requirements. Furthermore, we also explore the potential of using hybridization methods, i.e., combining multiple methods to derive a collective safety conclusion, to enhance the efficacy of online safety analysis for LLMs. Our findings indicate a promising direction for the development of innovative and trustworthy quality assurance methodologies for LLMs, facilitating their reliable deployments across diverse domains.","Fri, 12 Apr 2024 14:55:16 UTC",": Large Language Models (LLMs), interpretability, safe operations, quality assurance methods, online safety analysis, benchmark, evaluation, state-of-the-art methods, hybridization methods, reliability.

Summary in Korean: 대형 언어 모델(Large Language Models, LLMs)은 널리 사용되고 있지만 해석 가능성이 제한되어 있어 안전한 운영에 대한 우려가 있습니다. 이 연구에서는 LLMs에 대한 온라인 안전 분석 방법의 효과를 평가하고, 다양한 방법과 모델을 고려하여 신뢰성 있는 배포를 위한 혁신적이고 신뢰할 수 있는 품질 보증 방법의 방향을 제시합니다.","['Large Language Models (LLMs)', 'interpretability', 'safe operations', 'quality assurance methods', 'online safety analysis', 'benchmark', 'evaluation', 'state-of-the-art methods', 'hybridization methods', 'reliability.']"
6,6,6,Efficient Interactive LLM Serving with Proxy Model-based Sequence Length Prediction,"['Haoran Qiu', 'Weichao Mao', 'Archit Patke', 'Shengkun Cui', 'Saurabh Jha', 'Chen Wang', 'Hubertus Franke', 'Zbigniew T. Kalbarczyk', 'Tamer Başar', 'Ravishankar K. Iyer']","Large language models (LLMs) have been driving a new wave of interactive AI applications across numerous domains. However, efficiently serving LLM inference requests is challenging due to their unpredictable execution times originating from the autoregressive nature of generative models. Existing LLM serving systems exploit first-come-first-serve (FCFS) scheduling, suffering from head-of-line blocking issues. To address the non-deterministic nature of LLMs and enable efficient interactive LLM serving, we present a speculative shortest-job-first (SSJF) scheduler that uses a light proxy model to predict LLM output sequence lengths. Our open-source SSJF implementation does not require changes to memory management or batching strategies. Evaluations on real-world datasets and production workload traces show that SSJF reduces average job completion times by 30.5-39.6% and increases throughput by 2.2-3.6x compared to FCFS schedulers, across no batching, dynamic batching, and continuous batching settings.","Fri, 12 Apr 2024 14:46:15 UTC",": Large language models, interactive AI applications, LLM inference requests, autoregressive nature, serving systems, speculative shortest-job-first scheduler, light proxy model, memory management, batching strategies, real-world datasets, production workload traces.

Summary in Korean: 대형 언어 모델(Large language models, LLMs)은 새로운 상호작용형 AI 응용 프로그램을 주도하고 있으며, 이에 대한 효율적인 서비스를 위해 비결정적인 특성을 가진 LLM에 대한 스펙큘러티브 최단 작업 우선 스케줄러(SSJF)를 제안하고, 실제 데이터셋 및 제품 워크로드 추적을 통해 평균 작업 완료 시간을 30.5-39.6% 줄이고 처리량을 2.2-3.6배 증가시킨다.","['Large language models', 'interactive AI applications', 'LLM inference requests', 'autoregressive nature', 'serving systems', 'speculative shortest-job-first scheduler', 'light proxy model', 'memory management', 'batching strategies', 'real-world datasets', 'production workload traces.']"
7,7,7,Strategic Interactions between Large Language Models-based Agents in Beauty Contests,['Siting Lu'],"The growing adoption of large language models (LLMs) presents substantial potential for deeper understanding of human behaviours within game theory frameworks through simulations. Leveraging on the diverse pool of LLM types and addressing the gap in research on competitive games, this paper examines the strategic interactions among multiple types of LLM-based agents in a classical game of beauty contest. Drawing parallels to experiments involving human subjects, LLM-based agents are assessed similarly in terms of strategic levels. They demonstrate varying depth of reasoning that falls within a range of level-0 and 1, and show convergence in actions in repeated settings. Furthermore, I also explore how variations in group composition of agent types influence strategic behaviours, where I found higher proportion of fixed-strategy opponents enhances convergence for LLM-based agents, and having a mixed environment with agents of differing relative strategic levels accelerates convergence for all agents. There could also be higher average payoffs for the more intelligent agents, albeit at the expense of the less intelligent agents. These results not only provide insights into outcomes for simulated agents under specified scenarios, it also offer valuable implications for understanding strategic interactions between algorithms.","Fri, 12 Apr 2024 14:20:57 UTC",": large language models (LLMs), game theory, simulations, strategic interactions, beauty contest, agent types, group composition, strategic behaviors, convergence, average payoffs, algorithms

한국어 요약: 대규모 언어 모델(Large Language Models, LLMs)의 증가된 채택으로 시뮬레이션을 통해 게임 이론 프레임워크 내에서 인간 행동에 대한 깊은 이해의 잠재력이 제시되며, 이 논문은 다양한 LLM 유형을 활용하고 경쟁 게임에 대한 연구의 공백을 채우기 위해 다양한 유형의 LLM 기반 에이전트들 간의 전략적 상호작용을 분석합니다.","['large language models (LLMs)', 'game theory', 'simulations', 'strategic interactions', 'beauty contest', 'agent types', 'group composition', 'strategic behaviors', 'convergence', 'average payoffs', 'algorithms']"
8,8,8,Thematic Analysis with Large Language Models: does it work with languages other than English? A targeted test in Italian,['Stefano De Paoli'],"This paper proposes a test to perform Thematic Analysis (TA) with Large Language Model (LLM) on data which is in a different language than English. While there has been initial promising work on using pre-trained LLMs for TA on data in English, we lack any tests on whether these models can reasonably perform the same analysis with good quality in other language. In this paper a test will be proposed using an open access dataset of semi-structured interviews in Italian. The test shows that a pre-trained model can perform such a TA on the data, also using prompts in Italian. A comparative test shows the model capacity to produce themes which have a good resemblance with those produced independently by human researchers. The main implication of this study is that pre-trained LLMs may thus be suitable to support analysis in multilingual situations, so long as the language is supported by the model used.","Fri, 12 Apr 2024 14:10:09 UTC",": Thematic Analysis, Large Language Model, multilingual, Italian, pre-trained model, semi-structured interviews, comparative test

한글 요약: 본 논문은 다른 언어로 된 데이터에 대해 대규모 언어 모델(Large Language Model, LLM)을 사용하여 주제 분석(Thematic Analysis, TA)을 수행하는 테스트를 제안한다. 이 연구는 이탈리아어로 된 반구조화된 인터뷰 데이터를 활용하여 LLM이 TA를 수행할 수 있는지 테스트하고, 사람 연구자가 독립적으로 생성한 주제와 유사한 주제를 생성할 수 있다는 것을 보여준다.","['Thematic Analysis', 'Large Language Model', 'multilingual', 'Italian', 'pre-trained model', 'semi-structured interviews', 'comparative test']"
9,9,9,Comparing Apples to Oranges: LLM-powered Multimodal Intention Prediction in an Object Categorization Task,"['Hassan Ali', 'Philipp Allgeuer', 'Stefan Wermter']","Intention-based Human-Robot Interaction (HRI) systems allow robots to perceive and interpret user actions to proactively interact with humans and adapt to their behavior. Therefore, intention prediction is pivotal in creating a natural interactive collaboration between humans and robots. In this paper, we examine the use of Large Language Models (LLMs) for inferring human intention during a collaborative object categorization task with a physical robot. We introduce a hierarchical approach for interpreting user non-verbal cues, like hand gestures, body poses, and facial expressions and combining them with environment states and user verbal cues captured using an existing Automatic Speech Recognition (ASR) system. Our evaluation demonstrates the potential of LLMs to interpret non-verbal cues and to combine them with their context-understanding capabilities and real-world knowledge to support intention prediction during human-robot interaction.","Fri, 12 Apr 2024 12:15:14 UTC",": Intention-based Human-Robot Interaction, Large Language Models (LLMs), human intention, collaborative object categorization, non-verbal cues, Automatic Speech Recognition (ASR).

한국어 요약: 이 논문에서는 대형 언어 모델(Large Language Models, LLMs)을 사용하여 로봇과의 협업적 물체 분류 작업 중 사람의 의도를 추론하는 것을 검토하며, 비언어적 단서와 환경 상태를 해석하고 의도 예측을 지원하기 위해 LLMs의 잠재력을 시연하였다.","['Intention-based Human-Robot Interaction', 'Large Language Models (LLMs)', 'human intention', 'collaborative object categorization', 'non-verbal cues', 'Automatic Speech Recognition (ASR).']"
